epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,25.5303,0.45745,0.54939,0.93195,0.8035,1,0.94035,0.77819,0.4984,0.88311,0.87594,0.0017723,0.0017723,0.0017723
25,26.5137,0.44481,0.55833,0.9167,0.97261,1,0.98428,0.91205,0.39243,0.53,0.86341,0.0017624,0.0017624,0.0017624
26,27.5287,0.44906,0.52584,0.90632,0.97136,1,0.97876,0.81783,0.51864,0.51134,0.87285,0.0017525,0.0017525,0.0017525
27,28.5129,0.45247,0.54899,0.9317,0.9208,0.95495,0.97917,0.6737,0.74725,0.85846,0.95007,0.0017426,0.0017426,0.0017426
28,29.5019,0.4369,0.54511,0.92666,0.98445,0.57056,0.79787,0.5984,0.77455,1.16552,0.92064,0.0017327,0.0017327,0.0017327
29,30.4819,0.47993,0.52608,0.93352,0.94597,0.98198,0.97966,0.80493,0.68163,0.7674,0.94549,0.0017228,0.0017228,0.0017228
30,31.5274,0.41267,0.4788,0.90772,0.93037,0.84262,0.93218,0.73632,0.62457,0.76702,0.91874,0.0017129,0.0017129,0.0017129
31,32.5331,0.44072,0.5567,0.92928,0.75253,0.77477,0.84461,0.68025,0.61889,1.14916,0.95257,0.001703,0.001703,0.001703
32,33.5402,0.41218,0.52657,0.90511,0.92028,0.96396,0.96189,0.74725,0.63316,0.80252,0.91547,0.0016931,0.0016931,0.0016931
33,34.6434,0.45154,0.55251,0.92853,0.95687,0.99944,0.98138,0.85333,0.60242,0.69762,0.90834,0.0016832,0.0016832,0.0016832
34,35.6709,0.433,0.50071,0.9234,0.95162,0.98198,0.96839,0.77123,0.55969,0.7147,0.90024,0.0016733,0.0016733,0.0016733
35,36.6577,0.41374,0.51065,0.90035,0.66661,0.93694,0.82849,0.61421,0.5571,0.77022,0.8769,0.0016634,0.0016634,0.0016634
36,37.6629,0.41784,0.48716,0.91007,0.65327,0.89189,0.72492,0.57435,0.50014,0.92238,0.85168,0.0016535,0.0016535,0.0016535
37,38.6659,0.4108,0.48851,0.9128,0.97279,1,0.98589,0.81938,0.45061,0.44969,0.86087,0.0016436,0.0016436,0.0016436
38,39.8389,0.38617,0.49122,0.90927,0.93958,1,0.98376,0.82711,0.65134,0.65782,0.90428,0.0016337,0.0016337,0.0016337
39,40.8692,0.38323,0.48517,0.90473,0.9612,1,0.98944,0.76197,0.70429,0.7169,0.9203,0.0016238,0.0016238,0.0016238
40,41.928,0.40085,0.4934,0.91571,0.95639,0.97297,0.98662,0.81692,0.58692,0.81781,0.86425,0.0016139,0.0016139,0.0016139
41,42.9777,0.40849,0.48167,0.90604,0.97174,1,0.97079,0.87258,0.61142,0.779,0.8434,0.001604,0.001604,0.001604
42,44.0141,0.41741,0.49254,0.91265,0.95816,0.94595,0.97522,0.82368,0.75255,0.72699,0.89848,0.0015941,0.0015941,0.0015941
43,45.0139,0.39363,0.48991,0.92299,0.97321,0.98192,0.985,0.8456,0.73764,0.70897,0.91715,0.0015842,0.0015842,0.0015842
44,46.0914,0.38022,0.45053,0.89596,0.81235,0.93694,0.9434,0.73088,0.88887,0.79901,1.01271,0.0015743,0.0015743,0.0015743
45,47.1355,0.37398,0.45784,0.91945,0.97218,0.94442,0.98627,0.74888,0.88493,1.36594,1.03922,0.0015644,0.0015644,0.0015644
46,48.1734,0.39107,0.45823,0.9186,0.93199,0.96396,0.97356,0.73937,0.70778,0.77692,0.93107,0.0015545,0.0015545,0.0015545
47,49.1899,0.39102,0.46385,0.89933,0.69242,1,0.89921,0.73439,0.62175,0.87125,0.89969,0.0015446,0.0015446,0.0015446
48,50.2449,0.37293,0.45711,0.90834,0.95078,0.98198,0.98353,0.82097,0.49277,0.71429,0.87429,0.0015347,0.0015347,0.0015347
49,51.2612,0.41456,0.44559,0.91107,0.94725,0.97074,0.97996,0.72995,0.71818,0.7572,0.94716,0.0015248,0.0015248,0.0015248
50,52.2863,0.39236,0.44535,0.89682,0.97043,1,0.99175,0.76159,0.73063,0.79451,0.93872,0.0015149,0.0015149,0.0015149
51,53.329,0.41364,0.47898,0.90534,0.93845,1,0.99114,0.80381,0.68568,0.73495,0.92824,0.001505,0.001505,0.001505
52,54.3718,0.37374,0.4598,0.90166,0.92331,0.97619,0.98654,0.73607,0.69574,0.67664,0.93269,0.0014951,0.0014951,0.0014951
53,55.4107,0.36073,0.44193,0.88608,0.64665,1,0.8597,0.68432,0.66999,0.83361,0.92555,0.0014852,0.0014852,0.0014852
54,56.4668,0.34953,0.42242,0.89932,0.8445,0.97297,0.96096,0.8548,0.5594,0.78673,0.89227,0.0014753,0.0014753,0.0014753
55,57.5036,0.36153,0.4176,0.89756,0.97213,1,0.98734,0.85027,0.59103,0.58992,0.89515,0.0014654,0.0014654,0.0014654
